industry_sector,consumption_unit,energy_consumed,emissions_co2eq,fuel_description,fuel_type,financial_year_start_date
Non-specified Industry,Kwatt,0.08686545882,990040.625,Electricity purchased,Forms of energy,2015-01-01 00:00:00+05:30
Non-Metallic Minerals,tonne,2.820519001e-07,0.8213006258,"Fuel, aviation turbine",petroleum fuels,2006-01-01 00:00:00+05:30
Transport Equipment,tonne,5.197976407e-06,21.27300453,Petroleum coke,petroleum fuels,2004-01-01 00:00:00+05:30
Machinery,K.litres,0.0006056693965,1763.635132,"Fuel, aviation turbine",petroleum fuels,2012-01-01 00:00:00+05:30
Iron and Steel,Tonne,0.01578537561,64602.51953,Petroleum coke,petroleum fuels,2017-01-01 00:00:00+05:30
Non-Ferrous Metals,Tonne,0.004112538416,16830.78906,Petroleum coke,petroleum fuels,2015-01-01 00:00:00+05:30
Non-Ferrous Metals,Litre,0.000580357213,1886.746094,Furnace oil,petroleum fuels,2016-01-01 00:00:00+05:30
Non-Metallic Minerals,k. litres,2.605372629e-06,7.870138168,Kerosene,petroleum fuels,2007-01-01 00:00:00+05:30
Machinery,K.litres,5.271891496e-06,15.8587656,Superior kerosene,petroleum fuels,2011-01-01 00:00:00+05:30
Non-Metallic Minerals,Cubic meter,1.732373373e-05,40.72761154,Gas consumed,Natural gas,2016-01-01 00:00:00+05:30
Chemicals & fertilisers,tonne,0.001775026671,5770.626953,Furnace oil,petroleum fuels,2004-01-01 00:00:00+05:30
Iron and Steel,k. litres,4.740058568e-09,0.01475506183,Diesel,petroleum fuels,2006-01-01 00:00:00+05:30
Machinery,K.litres,4.352808446e-06,13.549613,High speed diesel,petroleum fuels,2010-01-01 00:00:00+05:30
Chemicals & fertilisers,Cubic meter,3.363238229e-06,7.906878471,Gas consumed,Natural gas,2014-01-01 00:00:00+05:30
Chemicals & fertilisers,tonne,0.00220784056,6428.961426,"Fuel, aviation turbine",petroleum fuels,2004-01-01 00:00:00+05:30
Chemicals & fertilisers,K. litre,4.061604341e-05,125.0710068,"Medium petroleum oil, n.e.c.",petroleum fuels,2015-01-01 00:00:00+05:30
Non-Ferrous Metals,tonne,1.441955555e-05,59.01282883,Petroleum coke,petroleum fuels,2006-01-01 00:00:00+05:30
Non-Metallic Minerals,tonne,3.96937503e-06,11.5583334,"Fuel, aviation turbine",petroleum fuels,2009-01-01 00:00:00+05:30
Textile and Leather,tonne,3.067975513e-06,12.43087673,Coal consumed,Coal and Lignite,2005-01-01 00:00:00+05:30
Transport Equipment,Litres,0.004179031588,13586.06641,Furnace oil,petroleum fuels,2011-01-01 00:00:00+05:30
Iron and Steel,K.litres,1.190091439e-06,3.594949961,Kerosene,petroleum fuels,2012-01-01 00:00:00+05:30
Non-specified Industry,,0.0,0.0,steam energy,Forms of energy,2006-01-01 00:00:00+05:30
Transport Equipment,kwh,0.0,0.0,Electricity own generated,Forms of energy,2008-01-01 00:00:00+05:30
Chemicals & fertilisers,k. litres,4.621135668e-05,143.8487396,High speed diesel,petroleum fuels,2009-01-01 00:00:00+05:30
Chemicals & fertilisers,tonne,0.000104715109,428.5523682,Petroleum coke,petroleum fuels,2007-01-01 00:00:00+05:30
Machinery,tonne,2.591323573e-05,106.0513458,Petroleum coke calcined,petroleum fuels,2008-01-01 00:00:00+05:30
Iron and Steel,Kwatt,0.0,0.0,Electricity own generated,Forms of energy,2014-01-01 00:00:00+05:30
Chemicals & fertilisers,kwh,0.0,0.0,Electricity own generated,Forms of energy,2004-01-01 00:00:00+05:30
Textile and Leather,K. litre,0.0002413296606,784.5647583,Fuel oils n.e.c,petroleum fuels,2015-01-01 00:00:00+05:30
Textile and Leather,k. litres,0.0002448338491,762.1295166,High speed diesel,petroleum fuels,2009-01-01 00:00:00+05:30
Chemicals & fertilisers,tonne,7.958578294e-07,3.257092237,Petroleum coke calcined,petroleum fuels,2005-01-01 00:00:00+05:30
Manufacture of Solid Fuels,Tonne,1.532086935e-05,62.70149994,Petroleum coke calcined,petroleum fuels,2015-01-01 00:00:00+05:30
Non-Metallic Minerals,K.litres,0.0003107583325,956.9335327,Light petroleum oil,petroleum fuels,2010-01-01 00:00:00+05:30
Non-Metallic Minerals,k. litres,0.001172079821,3648.501465,High speed diesel,petroleum fuels,2007-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",Kwatt,0.0,0.0,Electricity own generated,Forms of energy,2010-01-01 00:00:00+05:30
Non-Ferrous Metals,Tonne,0.0001160628817,474.9937439,Petroleum coke calcined,petroleum fuels,2013-01-01 00:00:00+05:30
Transport Equipment,K.litres,0.0005366186379,1652.436523,Light petroleum oil,petroleum fuels,2010-01-01 00:00:00+05:30
Iron and Steel,Cubic meter,5.756522569e-06,13.53342342,Gas consumed,All Gases,2012-01-01 00:00:00+05:30
Non-Metallic Minerals,k. litres,3.674601885e-07,1.109999537,Kerosene,petroleum fuels,2004-01-01 00:00:00+05:30
Non-specified Industry,Tonne,0.00102653692,3489.297119,"Other coal tar oil pitch products, n.e.c.",Coal and Lignite,2013-01-01 00:00:00+05:30
Iron and Steel,kwh,0.06405285686,759833.625,Electricity purchased,Forms of energy,2005-01-01 00:00:00+05:30
Machinery,K.litres,2.854321338e-06,8.885056496,High speed diesel,petroleum fuels,2011-01-01 00:00:00+05:30
Iron and Steel,Tonne,0.01743155532,70629.48438,Coal consumed,Coal and Lignite,2017-01-01 00:00:00+05:30
Iron and Steel,tonne,0.003253196133,13313.88477,Petroleum coke calcined,petroleum fuels,2008-01-01 00:00:00+05:30
Non-Metallic Minerals,tonne,4.928826911e-07,2.017149448,Petroleum coke calcined,petroleum fuels,2007-01-01 00:00:00+05:30
"Pulp, Paper and Print",Cubic meter,3.132144394e-06,7.363583088,Gas consumed,All Gases,2012-01-01 00:00:00+05:30
Wood and wood products,Litre,0.0004350640811,1414.396973,Furnace oil,petroleum fuels,2013-01-01 00:00:00+05:30
Iron and Steel,k. litres,9.310546011e-05,281.2468567,Kerosene,petroleum fuels,2008-01-01 00:00:00+05:30
Transport Equipment,Tonne,0.0004101873201,1678.714233,Petroleum coke calcined,petroleum fuels,2010-01-01 00:00:00+05:30
"Pulp, Paper and Print",k. litres,0.01032318641,31183.60352,Kerosene,petroleum fuels,2004-01-01 00:00:00+05:30
Non-Metallic Minerals,Tonne,0.0001177692611,528.819458,Petroleum products obtained from bitumen n.e.c.,petroleum fuels,2017-01-01 00:00:00+05:30
Non-Metallic Minerals,K. litre,0.0004699059646,1462.743896,Diesel,petroleum fuels,2017-01-01 00:00:00+05:30
Transport Equipment,Kg,0.0008449514862,2234.092285,Liquidified petroleum gas (LPG),Petroleum fuels,2015-01-01 00:00:00+05:30
Iron and Steel,Tonne,0.001603726181,6563.338379,Petroleum coke calcined,petroleum fuels,2011-01-01 00:00:00+05:30
Wood and wood products,Tonne,0.003425175557,13878.1875,Coal consumed,Coal and Lignite,2010-01-01 00:00:00+05:30
"Food Processing, Beverages and Tobacco",kwh,0.009729824105,115421.0391,Electricity purchased,Forms of energy,2006-01-01 00:00:00+05:30
"Pulp, Paper and Print",Kwatt,0.0,0.0,Electricity own generated,Forms of energy,2014-01-01 00:00:00+05:30
Non-Ferrous Metals,Litres,0.000236606531,769.2098389,Furnace oil,petroleum fuels,2010-01-01 00:00:00+05:30
Textile and Leather,tonne,0.0001268473297,513.9622192,Coal consumed,Coal and Lignite,2006-01-01 00:00:00+05:30
Chemicals & fertilisers,tonne,0.0001268782362,519.2561035,Petroleum coke,petroleum fuels,2006-01-01 00:00:00+05:30
Non-Metallic Minerals,tonne,4.49780714e-07,1.30970633,"Fuel, aviation turbine",petroleum fuels,2005-01-01 00:00:00+05:30
Non-Ferrous Metals,Tonne,7.251752088e-09,0.02967819571,Petroleum coke,petroleum fuels,2011-01-01 00:00:00+05:30
Non-Metallic Minerals,Tonne,0.002783551456,12469.5,Lignite briquettes,Coal & Lignite Products,2013-01-01 00:00:00+05:30
"Pulp, Paper and Print",tonne,0.05715375122,231576.5781,Coal consumed,Coal and Lignite,2009-01-01 00:00:00+05:30
Chemicals & fertilisers,Litre,0.002806285396,9123.256836,Furnace oil,petroleum fuels,2016-01-01 00:00:00+05:30
Iron and Steel,K. litre,3.612227147e-06,11.24429893,Gas oils,petroleum fuels,2013-01-01 00:00:00+05:30
Manufacture of Solid Fuels,Tonne,5.052382676e-06,20.67715454,Petroleum coke calcined,petroleum fuels,2017-01-01 00:00:00+05:30
Iron and Steel,Tonne,0.01514479425,61980.90625,Petroleum coke calcined,petroleum fuels,2015-01-01 00:00:00+05:30
Machinery,K.litres,4.638768132e-06,14.43976021,High speed diesel,petroleum fuels,2012-01-01 00:00:00+05:30
Non-Ferrous Metals,kwh,0.0,0.0,Electricity own generated,Forms of energy,2007-01-01 00:00:00+05:30
Textile and Leather,kwh,0.01518245776,167743.4219,Electricity purchased,Forms of energy,2009-01-01 00:00:00+05:30
Non-Ferrous Metals,Kwatt,0.001623589691,18504.70703,Electricity purchased,Forms of energy,2014-01-01 00:00:00+05:30
Chemicals & fertilisers,tonne,8.615285333e-05,352.5853271,Petroleum coke,petroleum fuels,2005-01-01 00:00:00+05:30
Machinery,K. Watt,0.03765833361,424827.5313,Electricity purchased,Forms of energy,2011-01-01 00:00:00+05:30
Textile and Leather,K. Watt,0.0,0.0,Electricity own generated,Forms of energy,2013-01-01 00:00:00+05:30
Machinery,K. litre,2.490207953e-05,77.51628113,Diesel,petroleum fuels,2014-01-01 00:00:00+05:30
